Method,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
K-Means,3,0.2848589191898987,70.9400080031512,1.3891879777181646
Hierarchical,3,0.2774439826952266,67.6474675044098,1.4185919431857326
Mean-Shift,3,0.22447619269259034,6.4354344589923205,1.3200588029456866
K-Means,4,0.26017035223704527,56.181355187904686,1.7968917400704767
Hierarchical,4,0.22583665933475802,51.46414629882825,1.7886506143765981
Mean-Shift,4,0.22447619269259034,6.4354344589923205,1.3200588029456866
K-Means,5,0.20161908294074093,46.952209001853014,1.8083185918965696
Hierarchical,5,0.18674235566758707,43.67927204722388,1.9228554600490608
Mean-Shift,5,0.22447619269259034,6.4354344589923205,1.3200588029456866
